Container contains 10000 elements.
1: This is a ship. Speed: 91, distance to destination: 75.000000, time to distance: 0.824176, ship type: tugboat, displacement: 17684
5095: This is a ship. Speed: 185, distance to destination: 1945.000000, time to distance: 10.513514, ship type: tanker, displacement: 5900
5096: This is a plane. Speed: 82, distance to destination: 331.000000, time to distance: 4.036585, maximum flight distance: 2202, capacity: 131
5097: This is a plane. Speed: 137, distance to destination: 1559.000000, time to distance: 11.379562, maximum flight distance: 3398, capacity: 107
5098: This is a plane. Speed: 140, distance to destination: 1612.000000, time to distance: 11.514286, maximum flight distance: 2293, capacity: 278
5099: This is a ship. Speed: 60, distance to destination: 1167.000000, time to distance: 19.450000, ship type: tugboat, displacement: 29347
5100: 5101: This is a ship. Speed: 184, distance to destination: 1599.000000, time to distance: 8.690217, ship type: tanker, displacement: 18975
5102: This is a ship. Speed: 53, distance to destination: 264.000000, time to distance: 4.981132, ship type: tugboat, displacement: 11128
5103: 5104: 5105: This is a ship. Speed: 147, distance to destination: 211.000000, time to distance: 1.435374, ship type: tanker, displacement: 4793
5106: This is a plane. Speed: 59, distance to destination: 1488.000000, time to distance: 25.220339, maximum flight distance: 2317, capacity: 266
5107: This is a ship. Speed: 197, distance to destination: 1786.000000, time to distance: 9.065990, ship type: liner, displacement: 3519
5108: This is a ship. Speed: 178, distance to destination: 536.000000, time to distance: 3.011236, ship type: liner, displacement: 15360
5109: This is a ship. Speed: 48, distance to destination: 1311.000000, time to distance: 27.312500, ship type: liner, displacement: 31618
5110: This is a plane. Speed: 174, distance to destination: 844.000000, time to distance: 4.850575, maximum flight distance: 2284, capacity: 118
5111: This is a ship. Speed: 84, distance to destination: 1603.000000, time to distance: 19.083333, ship type: tanker, displacement: 5683
5112: This is a ship. Speed: 70, distance to destination: 1738.000000, time to distance: 24.828571, ship type: tugboat, displacement: 5829
5113: This is a ship. Speed: 50, distance to destination: 467.000000, time to distance: 9.340000, ship type: tugboat, displacement: 13899
5114: 5115: 5116: This is a plane. Speed: 183, distance to destination: 1746.000000, time to distance: 9.540984, maximum flight distance: 2872, capacity: 109
5117: This is a plane. Speed: 115, distance to destination: 1097.000000, time to distance: 9.539130, maximum flight distance: 2309, capacity: 189
5118: This is a ship. Speed: 22, distance to destination: 1006.000000, time to distance: 45.727273, ship type: tanker, displacement: 6593
5119: 5120: 5121: 5122: This is a plane. Speed: 184, distance to destination: 335.000000, time to distance: 1.820652, maximum flight distance: 2985, capacity: 233
5123: This is a plane. Speed: 37, distance to destination: 173.000000, time to distance: 4.675676, maximum flight distance: 3743, capacity: 104
5124: 5125: This is a plane. Speed: 25, distance to destination: 933.000000, time to distance: 37.320000, maximum flight distance: 2144, capacity: 146
5126: 5127: This is a ship. Speed: 160, distance to destination: 631.000000, time to distance: 3.943750, ship type: tanker, displacement: 2780
5128: 5129: This is a plane. Speed: 64, distance to destination: 1878.000000, time to distance: 29.343750, maximum flight distance: 2426, capacity: 240
5130: This is a plane. Speed: 26, distance to destination: 1115.000000, time to distance: 42.884615, maximum flight distance: 2247, capacity: 127
5131: 5132: 5133: 5134: This is a ship. Speed: 27, distance to destination: 1644.000000, time to distance: 60.888889, ship type: tanker, displacement: 23073
5135: This is a plane. Speed: 42, distance to destination: 133.000000, time to distance: 3.166667, maximum flight distance: 2277, capacity: 220
5136: This is a plane. Speed: 179, distance to destination: 159.000000, time to distance: 0.888268, maximum flight distance: 2858, capacity: 249
5137: This is a ship. Speed: 131, distance to destination: 1580.000000, time to distance: 12.061069, ship type: tanker, displacement: 3868
5138: This is a ship. Speed: 69, distance to destination: 747.000000, time to distance: 10.826087, ship type: liner, displacement: 5383
5139: This is a ship. Speed: 92, distance to destination: 104.000000, time to distance: 1.130435, ship type: tugboat, displacement: 31286
5140: 5141: This is a plane. Speed: 175, distance to destination: 872.000000, time to distance: 4.982857, maximum flight distance: 2969, capacity: 190
5142: 5143: This is a ship. Speed: 105, distance to destination: 301.000000, time to distance: 2.866667, ship type: tanker, displacement: 15461
5144: 5145: This is a ship. Speed: 200, distance to destination: 378.000000, time to distance: 1.890000, ship type: liner, displacement: 16319
5146: This is a plane. Speed: 77, distance to destination: 72.000000, time to distance: 0.935065, maximum flight distance: 2192, capacity: 147
5147: 5148: 5149: This is a ship. Speed: 173, distance to destination: 164.000000, time to distance: 0.947977, ship type: liner, displacement: 3340
5150: 5151: 5152: This is a plane. Speed: 180, distance to destination: 1660.000000, time to distance: 9.222222, maximum flight distance: 3986, capacity: 277
5153: This is a plane. Speed: 123, distance to destination: 1124.000000, time to distance: 9.138211, maximum flight distance: 2288, capacity: 264
5154: 5155: This is a ship. Speed: 137, distance to destination: 528.000000, time to distance: 3.854015, ship type: tanker, displacement: 8948
5156: This is a ship. Speed: 134, distance to destination: 707.000000, time to distance: 5.276119, ship type: tugboat, displacement: 11002
5157: This is a ship. Speed: 33, distance to destination: 448.000000, time to distance: 13.575758, ship type: tugboat, displacement: 14211
5158: 5159: 5160: 5161: This is a plane. Speed: 133, distance to destination: 433.000000, time to distance: 3.255639, maximum flight distance: 3222, capacity: 300
5162: 5163: This is a ship. Speed: 193, distance to destination: 283.000000, time to distance: 1.466321, ship type: tanker, displacement: 2137
5164: This is a ship. Speed: 4, distance to destination: 1298.000000, time to distance: 324.500000, ship type: tanker, displacement: 20447
5165: This is a ship. Speed: 50, distance to destination: 1203.000000, time to distance: 24.060000, ship type: tugboat, displacement: 32575
5166: This is a ship. Speed: 64, distance to destination: 1624.000000, time to distance: 25.375000, ship type: tugboat, displacement: 4365
5167: 5168: This is a ship. Speed: 99, distance to destination: 322.000000, time to distance: 3.252525, ship type: liner, displacement: 19011
5169: This is a plane. Speed: 31, distance to destination: 772.000000, time to distance: 24.903226, maximum flight distance: 3513, capacity: 243
5170: 5171: 5172: This is a ship. Speed: 198, distance to destination: 1634.000000, time to distance: 8.252525, ship type: tanker, displacement: 5541
5173: 5174: This is a plane. Speed: 155, distance to destination: 996.000000, time to distance: 6.425806, maximum flight distance: 2978, capacity: 204
5175: This is a ship. Speed: 3, distance to destination: 1232.000000, time to distance: 410.666667, ship type: tugboat, displacement: 16837
5176: 5177: This is a ship. Speed: 84, distance to destination: 1115.000000, time to distance: 13.273810, ship type: liner, displacement: 22483
5178: This is a plane. Speed: 11, distance to destination: 216.000000, time to distance: 19.636364, maximum flight distance: 3694, capacity: 226
5179: This is a plane. Speed: 69, distance to destination: 1894.000000, time to distance: 27.449275, maximum flight distance: 2870, capacity: 110
5180: This is a plane. Speed: 175, distance to destination: 314.000000, time to distance: 1.794286, maximum flight distance: 3542, capacity: 156
5181: This is a plane. Speed: 165, distance to destination: 575.000000, time to distance: 3.484848, maximum flight distance: 3800, capacity: 280
5182: This is a plane. Speed: 15, distance to destination: 1826.000000, time to distance: 121.733333, maximum flight distance: 3574, capacity: 281
5183: 5184: 5185: 5186: This is a plane. Speed: 28, distance to destination: 363.000000, time to distance: 12.964286, maximum flight distance: 2157, capacity: 269
5187: 5188: 5189: This is a ship. Speed: 13, distance to destination: 723.000000, time to distance: 55.615385, ship type: tanker, displacement: 24952
5190: This is a ship. Speed: 40, distance to destination: 1910.000000, time to distance: 47.750000, ship type: tugboat, displacement: 29983
5191: This is a ship. Speed: 99, distance to destination: 1866.000000, time to distance: 18.848485, ship type: tugboat, displacement: 11002
5192: This is a plane. Speed: 164, distance to destination: 1958.000000, time to distance: 11.939024, maximum flight distance: 2925, capacity: 228
5193: This is a plane. Speed: 166, distance to destination: 290.000000, time to distance: 1.746988, maximum flight distance: 3380, capacity: 181
5194: This is a ship. Speed: 77, distance to destination: 1111.000000, time to distance: 14.428571, ship type: liner, displacement: 6055
5195: This is a ship. Speed: 154, distance to destination: 523.000000, time to distance: 3.396104, ship type: liner, displacement: 9335
5196: This is a ship. Speed: 9, distance to destination: 1747.000000, time to distance: 194.111111, ship type: liner, displacement: 27594
5197: This is a plane. Speed: 52, distance to destination: 1270.000000, time to distance: 24.423077, maximum flight distance: 3080, capacity: 191
5198: This is a plane. Speed: 153, distance to destination: 1944.000000, time to distance: 12.705882, maximum flight distance: 2285, capacity: 147
5199: This is a plane. Speed: 160, distance to destination: 654.000000, time to distance: 4.087500, maximum flight distance: 3967, capacity: 175
5200: This is a ship. Speed: 95, distance to destination: 1950.000000, time to distance: 20.526316, ship type: tugboat, displacement: 19457
5201: This is a plane. Speed: 184, distance to destination: 1137.000000, time to distance: 6.179348, maximum flight distance: 3933, capacity: 140
5202: This is a plane. Speed: 53, distance to destination: 1776.000000, time to distance: 33.509434, maximum flight distance: 2709, capacity: 259
5203: This is a ship. Speed: 121, distance to destination: 1931.000000, time to distance: 15.958678, ship type: tugboat, displacement: 28651
5204: 5205: 5206: 5207: This is a ship. Speed: 142, distance to destination: 50.000000, time to distance: 0.352113, ship type: tugboat, displacement: 25776
5208: This is a ship. Speed: 156, distance to destination: 737.000000, time to distance: 4.724359, ship type: tugboat, displacement: 18126
